EmpID,Age,AgeGroup,Gender,Department,JobRole,Salary,Attrition,YearsAtCompany,Employee Satisfaction,PerformanceRating,BusinessTravel,DailyRate,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
RM172,19,18-25,Female,Sales,Sales Representative,27900,Yes,0,3,4,Travel_Frequently,602,1,1,Technical Degree,1,235,100,1,1,1,Single,2325,Upto 5k,20989,0,Y,No,21,1,80,0,1,5,4,0,0,0
RM178,19,18-25,Male,Research & Development,Laboratory Technician,13224,Yes,1,2,4,Travel_Rarely,303,2,3,Life Sciences,1,243,47,2,1,4,Single,1102,Upto 5k,9241,1,Y,No,22,3,80,0,1,3,2,0,1,0
RM423,19,18-25,Male,Human Resources,Human Resources,30768,Yes,1,1,3,Travel_Rarely,489,2,2,Technical Degree,1,566,52,2,1,4,Single,2564,Upto 5k,18437,1,Y,No,12,3,80,0,1,3,4,0,0,0
RM689,19,18-25,Male,Sales,Sales Representative,25452,Yes,1,4,3,Travel_Rarely,419,21,3,Other,1,959,37,2,1,2,Single,2121,Upto 5k,9947,1,Y,Yes,13,2,80,0,1,3,4,0,0,0
RM854,19,18-25,Male,Research & Development,Research Scientist,30624,No,1,3,4,Travel_Rarely,645,9,2,Life Sciences,1,1193,54,3,1,1,Single,2552,Upto 5k,7172,1,Y,No,25,3,80,0,1,4,3,1,0,0
RM893,19,18-25,Female,Research & Development,Research Scientist,22308,Yes,1,1,4,Non-Travel,504,10,3,Medical,1,1248,96,2,1,2,Single,1859,Upto 5k,6148,1,Y,Yes,25,2,80,0,1,2,4,1,0,0
RM910,19,18-25,Female,Research & Development,Research Scientist,35928,No,1,2,3,Travel_Rarely,265,25,3,Life Sciences,1,1269,57,4,1,4,Single,2994,Upto 5k,21221,1,Y,Yes,12,4,80,0,1,2,3,0,0,1
RM103,20,18-25,Female,Research & Development,Laboratory Technician,35112,Yes,1,4,3,Travel_Frequently,871,6,3,Life Sciences,1,137,66,2,1,4,Single,2926,Upto 5k,19783,1,Y,Yes,18,2,80,0,1,5,3,0,1,0
RM488,20,18-25,Female,Research & Development,Research Scientist,34032,No,1,4,3,Travel_Rarely,959,1,3,Life Sciences,1,657,83,2,1,2,Single,2836,Upto 5k,11757,1,Y,No,13,4,80,0,1,0,4,0,0,0
RM514,20,18-25,Male,Research & Development,Research Scientist,12108,Yes,1,4,3,Travel_Rarely,1362,10,1,Medical,1,701,32,3,1,3,Single,1009,Upto 5k,26999,1,Y,Yes,11,4,80,0,1,5,3,0,1,1
RM663,20,18-25,Female,Sales,Sales Representative,24528,Yes,2,3,3,Travel_Rarely,500,2,3,Medical,1,922,49,2,1,3,Single,2044,Upto 5k,22052,1,Y,No,13,4,80,0,2,3,2,2,0,2
RM690,20,18-25,Male,Research & Development,Laboratory Technician,35676,Yes,1,1,3,Travel_Rarely,129,4,3,Technical Degree,1,960,84,3,1,1,Single,2973,Upto 5k,13008,1,Y,No,19,2,80,0,1,2,3,0,0,0
RM732,20,18-25,Female,Research & Development,Research Scientist,31200,Yes,1,4,3,Travel_Rarely,1097,11,3,Medical,1,1016,98,2,1,1,Single,2600,Upto 5k,18275,1,Y,Yes,15,1,80,0,1,2,3,0,0,0
RM777,20,18-25,Female,Sales,Sales Representative,27876,Yes,2,4,3,Travel_Frequently,769,9,3,Marketing,1,1077,54,3,1,4,Single,2323,Upto 5k,17205,1,Y,Yes,14,2,80,0,2,3,3,2,0,2
RM857,20,18-25,Male,Research & Development,Laboratory Technician,36396,No,2,1,3,Travel_Rarely,805,3,3,Life Sciences,1,1198,87,2,1,3,Single,3033,Upto 5k,12828,1,Y,No,12,1,80,0,2,2,2,2,1,2
RM877,20,18-25,Male,Sales,Sales Representative,32136,No,2,3,3,Travel_Rarely,654,21,3,Marketing,1,1226,43,4,1,4,Single,2678,Upto 5k,5050,1,Y,No,17,4,80,0,2,2,3,1,2,2
RM1179,20,18-25,Female,Sales,Sales Representative,33396,No,2,3,3,Travel_Rarely,1141,2,3,Medical,1,1657,31,3,1,3,Single,2783,Upto 5k,13251,1,Y,No,19,1,80,0,2,3,3,2,2,2
RM1198,20,18-25,Male,Sales,Sales Representative,32736,No,2,4,3,Travel_Rarely,727,9,1,Life Sciences,1,1680,54,3,1,1,Single,2728,Upto 5k,21082,1,Y,No,11,1,80,0,2,3,3,2,0,2
RM024,21,18-25,Male,Research & Development,Research Scientist,14784,No,0,3,3,Travel_Rarely,391,15,2,Life Sciences,1,30,96,3,1,4,Single,1232,Upto 5k,19281,1,Y,No,14,4,80,0,0,6,3,0,0,
RM275,21,18-25,Male,Research & Development,Research Scientist,38760,No,3,4,3,Travel_Rarely,996,3,2,Medical,1,379,100,2,1,3,Single,3230,Upto 5k,10531,1,Y,No,17,1,80,0,3,4,4,2,1,0
RM358,21,18-25,Female,Sales,Sales Representative,26088,Yes,3,1,3,Travel_Frequently,756,1,1,Technical Degree,1,478,99,2,1,2,Single,2174,Upto 5k,9150,1,Y,Yes,11,3,80,0,3,3,3,2,1,2
RM363,21,18-25,Male,Sales,Sales Representative,31320,No,3,1,4,Non-Travel,895,9,2,Medical,1,484,39,3,1,4,Single,2610,Upto 5k,2851,1,Y,No,24,3,80,0,3,3,2,2,2,
RM371,21,18-25,Female,Sales,Sales Representative,32592,Yes,1,3,3,Travel_Rarely,156,12,3,Life Sciences,1,494,90,4,1,2,Single,2716,Upto 5k,25422,1,Y,No,15,4,80,0,1,0,3,0,0,0
RM497,21,18-25,Male,Sales,Sales Representative,41364,No,3,3,3,Travel_Rarely,1343,22,1,Technical Degree,1,669,49,3,1,3,Single,3447,Upto 5k,24444,1,Y,No,11,3,80,0,3,2,3,2,1,2
RM664,21,18-25,Female,Research & Development,Research Scientist,32316,Yes,1,4,3,Travel_Rarely,1427,18,1,Other,1,923,65,3,1,4,Single,2693,Upto 5k,8870,1,Y,No,19,1,80,0,1,3,2,0,0,0
RM778,21,18-25,Female,Research & Development,Laboratory Technician,16992,Yes,1,3,3,Travel_Rarely,1334,10,3,Life Sciences,1,1079,36,2,1,1,Single,1416,Upto 5k,17258,1,Y,No,13,1,80,0,1,6,2,0,1,0
RM816,21,18-25,Female,Research & Development,Research Scientist,24840,No,2,4,3,Travel_Rarely,984,1,1,Technical Degree,1,1131,70,2,1,2,Single,2070,Upto 5k,25326,1,Y,Yes,11,3,80,0,2,6,4,2,2,2
RM916,21,18-25,Female,Research & Development,Laboratory Technician,31500,Yes,2,1,4,Travel_Frequently,251,10,2,Life Sciences,1,1279,45,2,1,3,Single,2625,Upto 5k,25308,1,Y,No,20,3,80,0,2,2,1,2,2,2
RM1153,21,18-25,Male,Research & Development,Research Scientist,37404,No,2,3,3,Travel_Rarely,546,5,1,Medical,1,1623,97,3,1,4,Single,3117,Upto 5k,26009,1,Y,No,18,3,80,0,3,2,3,2,2,2
RM1272,21,18-25,Male,Sales,Sales Representative,32148,Yes,1,2,3,Travel_Rarely,337,7,1,Marketing,1,1780,31,3,1,2,Single,2679,Upto 5k,4567,1,Y,No,13,2,80,0,1,3,3,0,1,0
RM1437,21,18-25,Male,Sales,Sales Representative,28560,No,2,3,3,Travel_Rarely,501,5,1,Medical,1,2021,58,3,1,1,Single,2380,Upto 5k,25479,1,Y,Yes,11,4,80,0,2,6,3,2,1,2
RM018,22,18-25,Male,Research & Development,Laboratory Technician,35220,No,1,4,3,Non-Travel,1123,16,2,Medical,1,22,96,4,1,4,Divorced,2935,Upto 5k,7324,1,Y,Yes,13,2,80,2,1,2,2,0,0,0
RM110,22,18-25,Female,Research & Development,Laboratory Technician,34452,No,0,2,3,Travel_Rarely,534,15,3,Medical,1,144,59,3,1,4,Single,2871,Upto 5k,23785,1,Y,No,15,3,80,0,1,5,3,0,0,0
RM129,22,18-25,Male,Research & Development,Laboratory Technician,30276,No,2,3,3,Travel_Rarely,594,2,1,Technical Degree,1,169,100,3,1,4,Married,2523,Upto 5k,19299,0,Y,No,14,3,80,1,3,2,3,1,2,1
RM161,22,18-25,Male,Research & Development,Research Scientist,27876,No,2,3,4,Travel_Rarely,1256,19,1,Medical,1,217,80,3,1,4,Married,2323,Upto 5k,11992,1,Y,No,24,1,80,2,2,6,3,2,2,2
RM207,22,18-25,Male,Research & Development,Research Scientist,27936,No,4,4,3,Travel_Rarely,1136,5,3,Life Sciences,1,284,60,4,1,2,Divorced,2328,Upto 5k,12392,1,Y,Yes,16,1,80,1,4,2,2,2,2,
RM384,22,18-25,Female,Research & Development,Research Scientist,26928,No,2,1,3,Travel_Rarely,253,11,3,Medical,1,511,43,3,1,2,Married,2244,Upto 5k,24440,1,Y,No,13,4,80,1,2,1,3,1,1,2
RM444,22,18-25,Male,Research & Development,Laboratory Technician,46728,Yes,2,3,3,Travel_Frequently,1368,4,1,Technical Degree,1,593,99,2,1,3,Single,3894,Upto 5k,9129,5,Y,No,16,3,80,0,4,3,3,2,1,2
RM499,22,18-25,Male,Research & Development,Research Scientist,33276,No,2,1,4,Travel_Rarely,604,6,1,Medical,1,675,69,3,1,3,Married,2773,Upto 5k,12145,0,Y,No,20,4,80,0,3,3,3,2,2,2
RM631,22,18-25,Male,Research & Development,Manufacturing Director,57300,No,2,4,4,Travel_Rarely,1230,1,2,Life Sciences,1,872,33,2,2,4,Married,4775,Upto 5k,19146,6,Y,No,22,1,80,2,4,2,1,2,2,2
RM667,22,18-25,Female,Research & Development,Manufacturing Director,50052,Yes,3,2,3,Travel_Rarely,617,3,1,Life Sciences,1,926,34,3,2,3,Married,4171,Upto 5k,10022,0,Y,Yes,19,1,80,1,4,3,4,2,0,2
RM735,22,18-25,Male,Research & Development,Laboratory Technician,29412,No,4,2,3,Travel_Rarely,217,8,1,Life Sciences,1,1019,94,1,1,1,Married,2451,Upto 5k,6881,1,Y,No,15,1,80,1,4,3,2,3,1,1
RM861,22,18-25,Male,Research & Development,Research Scientist,34236,Yes,0,3,3,Travel_Frequently,1256,3,4,Life Sciences,1,1203,48,2,1,4,Married,2853,Upto 5k,4223,0,Y,Yes,11,2,80,1,1,5,3,0,0,0
RM1138,22,18-25,Female,Research & Development,Research Scientist,33768,No,4,2,3,Non-Travel,457,26,2,Other,1,1605,85,2,1,3,Married,2814,Upto 5k,10293,1,Y,Yes,14,2,80,0,4,2,2,2,1,3
RM1274,22,18-25,Female,Research & Development,Laboratory Technician,28776,Yes,1,3,3,Travel_Rarely,1294,8,1,Medical,1,1783,79,3,1,1,Married,2398,Upto 5k,15999,1,Y,Yes,17,3,80,0,1,6,3,0,0,0
RM1340,22,18-25,Male,Research & Development,Research Scientist,29664,Yes,1,4,4,Travel_Rarely,391,7,1,Life Sciences,1,1878,75,3,1,2,Single,2472,Upto 5k,26092,1,Y,Yes,23,1,80,0,1,2,3,0,0,0
RM1424,22,18-25,Male,Research & Development,Research Scientist,40500,No,3,4,3,Travel_Rarely,581,1,2,Life Sciences,1,2007,63,3,1,3,Single,3375,Upto 5k,17624,0,Y,No,12,4,80,0,4,2,4,2,1,2
RM087,23,18-25,Male,Sales,Sales Representative,27864,No,0,3,3,Travel_Rarely,541,2,1,Technical Degree,1,113,62,3,1,1,Divorced,2322,Upto 5k,9518,3,Y,No,13,3,80,1,3,3,3,0,0,0
RM346,23,18-25,Male,Research & Development,Research Scientist,34848,No,4,3,3,Travel_Rarely,1309,26,1,Life Sciences,1,465,83,3,1,4,Divorced,2904,Upto 5k,16092,1,Y,No,12,3,80,2,4,2,2,2,0,2
RM517,23,18-25,Male,Research & Development,Research Scientist,33828,No,3,1,3,Travel_Rarely,885,4,3,Medical,1,705,58,4,1,1,Married,2819,Upto 5k,8544,2,Y,No,16,1,80,1,5,3,4,2,0,2
RM551,23,18-25,Male,Research & Development,Laboratory Technician,30000,No,4,2,3,Travel_Rarely,650,9,1,Medical,1,758,37,3,1,1,Married,2500,Upto 5k,4344,1,Y,No,14,4,80,1,5,2,4,3,0,2
RM566,23,18-25,Male,Research & Development,Research Scientist,42060,No,2,1,3,Travel_Rarely,310,10,1,Medical,1,784,79,4,1,3,Single,3505,Upto 5k,19630,1,Y,No,18,4,80,0,2,3,3,2,0,2
RM586,23,18-25,Male,Research & Development,Laboratory Technician,19212,Yes,0,3,4,Travel_Rarely,1243,6,3,Life Sciences,1,811,63,4,1,1,Married,1601,Upto 5k,3445,1,Y,Yes,21,3,80,2,1,2,3,0,0,0
RM911,23,18-25,Male,Research & Development,Research Scientist,14676,No,1,4,4,Travel_Rarely,373,1,2,Life Sciences,1,1270,47,3,1,3,Married,1223,Upto 5k,16901,1,Y,No,22,4,80,1,1,2,3,0,0,1
RM1083,23,18-25,Male,Research & Development,Laboratory Technician,27264,No,4,1,3,Travel_Rarely,507,20,1,Life Sciences,1,1533,97,3,2,3,Single,2272,Upto 5k,24812,0,Y,No,14,2,80,0,5,2,3,3,1,2
RM1128,23,18-25,Male,Research & Development,Research Scientist,24876,No,2,4,3,Travel_Rarely,977,10,3,Technical Degree,1,1592,45,4,1,3,Married,2073,Upto 5k,12826,2,Y,No,16,4,80,1,4,2,3,2,2,2
RM1202,23,18-25,Male,Research & Development,Laboratory Technician,47868,Yes,5,4,3,Travel_Rarely,1320,8,1,Medical,1,1684,93,2,1,3,Single,3989,Upto 5k,20586,1,Y,Yes,11,1,80,0,5,2,3,4,1,2
RM1214,23,18-25,Male,Sales,Sales Representative,27300,Yes,3,3,4,Travel_Rarely,427,7,3,Life Sciences,1,1702,99,3,1,4,Divorced,2275,Upto 5k,25103,1,Y,Yes,21,2,80,1,3,2,3,2,0,2
RM1239,23,18-25,Female,Research & Development,Laboratory Technician,39540,No,3,3,3,Travel_Rarely,160,4,1,Medical,1,1735,51,3,1,2,Single,3295,Upto 5k,12862,1,Y,No,13,3,80,0,3,3,1,2,1,2
RM1409,23,18-25,Male,Research & Development,Laboratory Technician,31764,No,5,4,3,Travel_Rarely,571,12,2,Other,1,1982,78,3,1,4,Single,2647,Upto 5k,13672,1,Y,No,13,3,80,0,5,6,4,2,1,4
RM1439,23,18-25,Male,Sales,Sales Representative,21480,Yes,1,4,3,Travel_Frequently,638,9,3,Marketing,1,2023,33,3,1,1,Married,1790,Upto 5k,26956,1,Y,No,19,1,80,1,1,3,2,0,1,0
RM021,24,18-25,Female,Research & Development,Manufacturing Director,48132,No,4,1,3,Non-Travel,673,11,2,Other,1,26,96,4,2,3,Divorced,4011,Upto 5k,8232,0,Y,No,18,4,80,1,5,5,2,2,1,3
RM035,24,18-25,Male,Research & Development,Research Scientist,27516,Yes,2,2,3,Travel_Rarely,813,1,3,Medical,1,45,61,3,1,4,Married,2293,Upto 5k,3020,2,Y,Yes,16,1,80,1,6,2,2,0,2,0
RM097,24,18-25,Female,Sales,Sales Executive,59988,No,3,1,4,Travel_Rarely,1353,3,2,Other,1,128,33,3,2,3,Married,4999,Upto 5k,17519,0,Y,No,21,1,80,1,4,2,2,2,0,2
RM114,24,18-25,Male,Research & Development,Laboratory Technician,33288,No,5,2,3,Travel_Rarely,1127,18,1,Life Sciences,1,150,52,3,1,3,Married,2774,Upto 5k,13257,0,Y,No,12,3,80,1,6,2,3,3,1,2
RM381,24,18-25,Female,Sales,Sales Executive,51120,No,5,4,3,Travel_Rarely,1371,10,4,Marketing,1,507,77,3,2,3,Divorced,4260,Upto 5k,5915,1,Y,Yes,12,4,80,1,5,2,4,2,0,3
RM415,24,18-25,Female,Sales,Sales Representative,38424,Yes,5,1,3,Travel_Rarely,1448,1,1,Technical Degree,1,554,62,3,1,2,Single,3202,Upto 5k,21972,1,Y,Yes,16,2,80,0,6,4,3,3,1,4
RM471,24,18-25,Male,Sales,Sales Representative,28800,No,2,4,3,Travel_Frequently,535,24,3,Medical,1,632,38,3,1,4,Married,2400,Upto 5k,5530,0,Y,No,13,3,80,2,3,3,3,2,2,1
RM475,24,18-25,Male,Research & Development,Research Scientist,32700,No,6,2,3,Travel_Rarely,691,23,3,Medical,1,639,89,4,1,4,Married,2725,Upto 5k,21630,1,Y,Yes,11,2,80,2,6,3,3,5,1,4
RM477,24,18-25,Male,Research & Development,Laboratory Technician,25524,No,1,4,4,Travel_Rarely,823,17,2,Other,1,643,94,2,1,2,Married,2127,Upto 5k,9100,1,Y,No,21,4,80,1,1,2,3,0,0,0
RM480,24,18-25,Female,Research & Development,Laboratory Technician,34632,Yes,6,1,3,Travel_Frequently,1287,7,3,Life Sciences,1,647,55,3,1,3,Married,2886,Upto 5k,14168,1,Y,Yes,16,4,80,1,6,4,3,3,1,2
RM526,24,18-25,Female,Sales,Sales Executive,54924,Yes,2,1,3,Travel_Rarely,693,3,2,Life Sciences,1,720,65,3,2,3,Single,4577,Upto 5k,24785,9,Y,No,14,1,80,0,4,3,3,2,2,0
RM587,24,18-25,Male,Research & Development,Laboratory Technician,32328,No,1,3,3,Non-Travel,1092,9,3,Life Sciences,1,812,60,2,1,2,Divorced,2694,Upto 5k,26551,1,Y,No,11,3,80,3,1,4,3,0,0,0
RM641,24,18-25,Male,Research & Development,Laboratory Technician,37944,No,5,1,3,Non-Travel,1269,4,1,Life Sciences,1,888,46,2,1,4,Married,3162,Upto 5k,10778,0,Y,No,17,4,80,0,6,2,2,2,3,4
RM725,24,18-25,Female,Research & Development,Manufacturing Director,52524,No,4,4,3,Travel_Rarely,1206,17,1,Medical,1,1009,41,2,2,3,Divorced,4377,Upto 5k,24117,1,Y,No,15,2,80,2,5,6,3,2,3,2
RM842,24,18-25,Male,Research & Development,Laboratory Technician,43164,No,4,4,4,Travel_Rarely,477,24,3,Medical,1,1173,49,3,1,2,Single,3597,Upto 5k,6409,8,Y,No,22,4,80,0,6,2,3,3,1,2
RM872,24,18-25,Female,Research & Development,Laboratory Technician,26520,Yes,1,4,3,Travel_Rarely,984,17,2,Life Sciences,1,1219,97,3,1,2,Married,2210,Upto 5k,3372,1,Y,No,13,1,80,1,1,3,1,0,0,0
RM1026,24,18-25,Female,Sales,Sales Executive,49944,No,5,4,3,Travel_Rarely,1476,4,1,Medical,1,1445,42,3,2,3,Married,4162,Upto 5k,15211,1,Y,Yes,12,3,80,2,5,3,3,4,0,3
RM1061,24,18-25,Male,Research & Development,Laboratory Technician,38064,Yes,0,2,3,Travel_Frequently,381,9,3,Medical,1,1494,89,3,1,1,Single,3172,Upto 5k,16998,2,Y,Yes,11,3,80,0,4,2,2,0,0,0
RM1062,24,18-25,Female,Sales,Sales Representative,24396,No,1,4,3,Non-Travel,830,13,2,Life Sciences,1,1495,78,3,1,2,Married,2033,Upto 5k,7103,1,Y,No,13,3,80,1,1,2,3,0,0,0
RM1098,24,18-25,Male,Research & Development,Laboratory Technician,27552,No,1,3,3,Travel_Rarely,350,21,2,Technical Degree,1,1551,57,2,1,1,Divorced,2296,Upto 5k,10036,0,Y,No,14,2,80,3,2,3,3,1,0,0
RM1169,24,18-25,Female,Research & Development,Research Scientist,45120,No,6,1,3,Travel_Frequently,567,2,1,Technical Degree,1,1646,32,3,1,4,Single,3760,Upto 5k,17218,1,Y,Yes,13,3,80,0,6,2,3,3,1,3
RM1218,24,18-25,Male,Research & Development,Research Scientist,52812,No,5,3,3,Travel_Rarely,581,9,3,Medical,1,1707,62,4,1,3,Married,4401,Upto 5k,17616,1,Y,No,16,4,80,1,5,1,3,3,0,4
RM1223,24,18-25,Male,Human Resources,Human Resources,18660,Yes,1,4,3,Travel_Rarely,240,22,1,Human Resources,1,1714,58,1,1,3,Married,1555,Upto 5k,11585,1,Y,No,11,3,80,1,1,2,3,0,0,0
RM1231,24,18-25,Male,Research & Development,Laboratory Technician,46884,No,6,2,3,Travel_Rarely,506,29,1,Medical,1,1725,91,3,1,1,Divorced,3907,Upto 5k,3622,1,Y,No,13,2,80,3,6,2,4,2,1,2
RM1246,24,18-25,Male,Human Resources,Human Resources,25740,No,2,1,3,Travel_Frequently,897,10,3,Medical,1,1746,59,3,1,4,Married,2145,Upto 5k,2097,0,Y,No,14,4,80,1,3,2,3,2,2,1
RM1408,24,18-25,Male,Research & Development,Healthcare Representative,55404,No,4,2,3,Travel_Rarely,771,1,2,Life Sciences,1,1981,45,2,2,3,Single,4617,Upto 5k,14120,1,Y,No,12,2,80,0,4,2,2,3,1,2
RM108,25,18-25,Male,Sales,Sales Executive,68928,Yes,6,3,3,Travel_Rarely,240,5,3,Marketing,1,142,46,2,2,3,Single,5744,5k-10k,26959,1,Y,Yes,11,4,80,0,6,1,3,4,0,3
RM109,25,18-25,Male,Research & Development,Research Scientist,34668,No,2,4,3,Travel_Rarely,1280,7,1,Medical,1,143,64,2,1,4,Married,2889,Upto 5k,26897,1,Y,No,11,3,80,2,2,2,3,2,2,1
RM139,25,18-25,Male,Sales,Sales Executive,103668,No,2,1,3,Travel_Rarely,959,28,3,Life Sciences,1,183,41,2,2,3,Married,8639,5k-10k,24835,2,Y,No,18,4,80,0,6,3,3,2,2,
RM256,25,18-25,Female,Research & Development,Manufacturing Director,58776,No,4,1,3,Travel_Rarely,685,1,3,Life Sciences,1,350,62,3,2,3,Married,4898,Upto 5k,7505,0,Y,No,12,4,80,2,5,3,3,2,1,
RM268,25,18-25,Male,Research & Development,Healthcare Representative,48000,No,6,2,3,Non-Travel,675,5,2,Life Sciences,1,369,85,4,2,1,Divorced,4000,Upto 5k,18384,1,Y,No,12,4,80,2,6,2,3,3,1,5
RM398,25,18-25,Female,Sales,Sales Executive,53844,No,5,2,3,Travel_Rarely,891,4,2,Life Sciences,1,527,99,2,2,4,Single,4487,Upto 5k,12090,1,Y,Yes,11,2,80,0,5,3,3,4,1,3
RM406,25,18-25,Male,Research & Development,Laboratory Technician,48372,Yes,2,1,3,Travel_Rarely,688,3,3,Medical,1,538,91,3,1,1,Married,4031,Upto 5k,9396,5,Y,No,13,3,80,1,6,5,3,2,0,
RM479,25,18-25,Male,Sales,Sales Representative,25152,No,7,2,3,Travel_Rarely,622,13,1,Medical,1,645,40,3,1,3,Married,2096,Upto 5k,26376,1,Y,No,11,3,80,0,7,1,3,4,0,6
RM518,25,18-25,Male,Sales,Sales Executive,58212,No,3,4,4,Travel_Rarely,810,8,3,Life Sciences,1,707,57,4,2,2,Married,4851,Upto 5k,15678,0,Y,No,22,3,80,1,4,4,3,2,1,2
RM564,25,18-25,Female,Sales,Sales Executive,74160,No,6,3,4,Travel_Rarely,883,26,1,Medical,1,781,32,3,2,4,Single,6180,5k-10k,22807,1,Y,No,23,2,80,0,6,5,2,5,1,4
RM619,25,18-25,Male,Research & Development,Research Scientist,41088,No,4,1,3,Travel_Rarely,180,2,1,Medical,1,854,65,4,1,1,Single,3424,Upto 5k,21632,7,Y,No,13,3,80,0,6,3,2,3,0,1
RM635,25,18-25,Male,Sales,Sales Executive,50328,No,5,3,3,Travel_Rarely,141,3,1,Other,1,879,98,3,2,1,Married,4194,Upto 5k,14363,1,Y,Yes,18,4,80,0,5,3,3,3,0,3
RM639,25,18-25,Male,Sales,Sales Executive,51072,No,5,3,3,Travel_Rarely,583,4,1,Marketing,1,885,87,2,2,1,Married,4256,Upto 5k,18154,1,Y,No,12,1,80,0,5,1,4,2,0,3
RM684,25,18-25,Male,Sales,Sales Representative,28956,Yes,1,3,3,Travel_Rarely,867,19,2,Marketing,1,952,36,2,1,2,Married,2413,Upto 5k,18798,1,Y,Yes,18,3,80,3,1,2,3,0,0,0
RM797,25,18-25,Male,Research & Development,Laboratory Technician,44292,Yes,7,4,3,Travel_Rarely,1219,4,1,Technical Degree,1,1106,32,3,1,4,Married,3691,Upto 5k,4605,1,Y,Yes,15,2,80,1,7,3,4,7,5,6
RM886,25,18-25,Male,Sales,Sales Executive,59400,No,4,3,3,Travel_Rarely,1356,10,4,Life Sciences,1,1240,57,3,2,4,Single,4950,Upto 5k,20623,0,Y,No,14,2,80,0,5,4,3,3,1,1
RM912,25,18-25,Male,Sales,Sales Representative,13416,Yes,1,3,3,Travel_Frequently,599,24,1,Life Sciences,1,1273,73,1,1,4,Single,1118,Upto 5k,8040,1,Y,Yes,14,4,80,0,1,4,3,0,1,0
RM935,25,18-25,Female,Research & Development,Research Scientist,25152,No,2,4,3,Travel_Rarely,266,1,3,Medical,1,1303,40,3,1,2,Single,2096,Upto 5k,18830,1,Y,No,18,4,80,0,2,3,2,2,2,1
RM966,25,18-25,Male,Research & Development,Laboratory Technician,44028,No,3,4,3,Travel_Rarely,882,19,1,Medical,1,1358,67,3,1,4,Married,3669,Upto 5k,9075,3,Y,No,11,3,80,3,7,6,2,2,1,2
